titre,date,editeur,fichier 
Buckeye cookery and practical housekeeping: tried and approved,1880,,1880_Buckeyecookeryandpra.txt
The practical household assistant. A complete guide for the housekeeper,1880,"Silver Creek, N.Y., The Local printing house",1880_Thepracticalhousehol.txt
The Appledore cook book: containing practical receipts for plain and rich cooking,1880,Boston : A.F. Graves,1880_TheAppledorecookbook.txt
Valuable Cooking Receipts,1880,"White, Stokes, & Allen",1880_ValuableCookingRecei.txt
The Modern Cook: A Practical Guide to the Culinary Art in All Its Branches ...,1880,R. Bentley & son,1880_TheModernCookAPracti.txt
My mother's cook book,1880,Saint Louis : Hugh R. Hildreth Printing,1880_Mymotherscookbook.txt
"Food adulteration: or, What we eat, and we should eat!",1880,"Chicago, P. W. Barclay & co.",1880_FoodadulterationorWh.txt
Food for the invalid; the convalescent; the dyspeptic; and the gouty,1880,"London, Macmillan and Co.",1880_Foodfortheinvalidthe.txt
Valuable cooking receipts,1880,"New York, G. W. Harlan",1880_Valuablecookingrecei.txt
"Health in the house : twenty-five lectures on elementary physiology in its application to the daily wants of man and animals, delivered to the wives and children of working-men in Leeds and Saltaire",1880,Toronto : W.J. Gage,1880_Healthinthehousetwen.txt
Food and feeding,1880,London : F. Warne,1880_Foodandfeeding.txt
Everything for the table,1880,"[Haverhill, Mass., C. C. Morse & son, printers]",1880_Everythingforthetabl.txt
"""Mother Hubbard's cupboard"" ..",1880,"[Rochester, N.Y.] E. R. Andrews, printer and bookbinder",1880_MotherHubbardscupboa.txt
The domestic adviser,1880,"New York, J.H. Nellis",1880_Thedomesticadviser.txt
"Popular lessons on cookery, by a former staff teacher of the National training school of cookery",1880,,1880_Popularlessonsoncook.txt
The Appledore cook book: containing practical receipts for plain and rich cooking,1880,"Boston, A.F. Graves",1880_TheAppledorecookbook.txt
Cooking and castle-building,1880,"Boston, J. R. Osgood and company",1880_Cookingandcastlebuil.txt
The Art of Cooking: A Series of Practical Lessons,1880,G.P. Putnam,1880_TheArtofCookingASeri.txt
"The complete bread, cake and cracker baker",1881,Chicago : J. Thompson Gill,1881_Thecompletebreadcake.txt
Home cookery,1881,"Philadelphia [Jackson brothers, printers]",1881_Homecookery.txt
Miss Leslie's cook book. A complete manual to domestic cookery in all its branches ..,1881,"Philadelphia, T. B. Peterson & brothers",1881_MissLesliescookbookA.txt
"Breakfast, dessert, and supper",1881,"Auburn, N.Y., The author",1881_Breakfastdessertands.txt
A handbook of cookery,1881,T. Nelson and Sons,1881_Ahandbookofcookery.txt
The household (of the Detroit free press). A cyclopædia of practical hints for modern homes,1881,"Detroit, The Detroit free press publishing co.",1881_ThehouseholdoftheDet.txt
"Orthodox hash, with change of diet",1881,"New York, A.K. Butts",1881_Orthodoxhashwithchan.txt
Hood's cook book number two,1881,"[Lowell, Mass : C.I. Hood & Co.",1881_Hoodscookbooknumbert.txt
Supplement to The practice of cookery and pastry [of mrs. I. Williamson].,1881,,1881_SupplementtoThepract.txt
Farm homes in-doors and out-doors,1881,"New York, Orange Judd company",1881_Farmhomesindoorsando.txt
Housekeeping in the blue grass : a new and practical cook book : containing nearly a thousand recipes ...,1881,"Cincinnati, R. Clarke",1881_Housekeepingintheblu.txt
Sense in the Kitchen: A Guide to Economical Cooking,1881,A.S. Hunter,1881_SenseintheKitchenAGu.txt
The perfect way in diet: A Treatise Advocating a Return to the Natural and Ancient Food of Our Race,1881,,1881_TheperfectwayindietA.txt
Our cooks in council. A manual of practical and economical recipes for the household,1881,"Jefferson, Ohio, The Ladies of the Congregational church",1881_OurcooksincouncilAma.txt
Margery Daw in the kitchen,1881,"Auburn, N.Y., Knapp & Peck, book and job printers",1881_MargeryDawinthekitch.txt
How to cook,1881,"New York, F. Tousey",1881_Howtocook.txt
"Culture and cooking; or, Art in the kitchen",1881,"New York, Cassell, Petter, Galpin",1881_CultureandcookingorA.txt
"The Canadian economist, a book of tried and tested receipts [microform]",1881,"Ottawa : A. Mortimer; Toronto : Hunter, Rose",1881_TheCanadianeconomist.txt
Convalescent Cookery,1881,Chatto & Windus,1881_ConvalescentCookery.txt
The original Appledore cook book : containing practical receipts for plain and rich cooking,1881,Boston : C.E. Brown,1881_TheoriginalAppledore.txt
"Culture and cooking; or, Art in the kitchen",1881,"New York, Cassell, Petter, Galpin & Co",1881_CultureandcookingorA.txt
Los Angeles cookery,1881,"[Los Angeles, Cal. : Ladies' Aid Society, Fort Street M.E. Church], Mirror Printing and Binding House)]",1881_LosAngelescookery.txt
The Home cook book,1881,Toronto : Rose-Belford Pub. Co.,1881_TheHomecookbook.txt
"The hygienic cook-book : containing recipes for making bread, pies, puddings, mushes, and soups, with directions for cooking vegetables, canning fruit, etc. to which is added an appendix containing valuable suggestions in regard to washing, bleaching, removing ink, fruit, and othe stains from garments, etc.",1881,New York : M.L. Holbrook,1881_Thehygieniccookbookc.txt
Practical Cooking and Dinner Giving: A Treatise Containing Practical ...,1881,Harper,1881_PracticalCookingandD.txt
The Canadian economist : a book of tried and tested receipts : the profits to be devoted to the church,1881,Ottawa : A. Mortimer,1881_TheCanadianeconomist.txt
The Illinois cook book;,1881,"Claremont, N.H., Printed for the compiler by the Claremont manufacturing co.",1881_TheIllinoiscookbook.txt
"What Mrs. Fisher knows about old southern cooking, soups, pickles, preserves, etc. ..",1881,San Francisco : Women's co-operative printing office,1881_WhatMrsFisherknowsab.txt
Goodall's Palatable cookery,1881,,1881_GoodallsPalatablecoo.txt
Culture and cooking; or : Art in the kitchen.,1881,"New York : Cassell, Petter, Galpin",1881_CultureandcookingorA.txt
"New American home cook book, containing all the most valuable household recipes in the world. The only complete book of its kind. How to make a meal out of nothing. A treasure for rich and poor",1881,"New York, E.G. Rideout",1881_NewAmericanhomecookb.txt
The chemistry of cooking and cleaning : a manual for housekeepers,1882,Boston : Estes & Lauriat,1882_Thechemistryofcookin.txt
Housekeepers' friend,1882,Boston : Marno,1882_Housekeepersfriend.txt
How to keep house,1882,"New York, F. Tousey",1882_Howtokeephouse.txt
Cookery and housekeeping; a manual of domestic economy for large and small families,1882,London : Longmans,1882_Cookeryandhousekeepi.txt
First principles of household management and cookery,1882,"Boston, New York, Houghton, Mifflin and company",1882_Firstprinciplesofhou.txt
Warne's Model housekeeper; a manual of domestic economy in all its branches,1882,London : Warne,1882_WarnesModelhousekeep.txt
The Wine Question in the Light of the New Dispensation,1882,J. Ellis,1882_TheWineQuestioninthe.txt
"What to get for breakfast : with more than one hundred different breakfasts, and full directions for each",1882,Boston : J.H. Earle,1882_Whattogetforbreakfas.txt
Choice dishes at small cost,1882,London : Cassell,1882_Choicedishesatsmallc.txt
Every day home advice and the practical business of life,1882,"New York, G. W. Carleton & co.; [etc., etc.]",1882_Everydayhomeadvicean.txt
Meals for the million: the people's cook-book,1882,"New York, N.Y. school of cooking",1882_Mealsforthemillionth.txt
"366 menus and 1200 recipes ... in French and English, tr. by mrs. Matthew Clark",1882,,1882_366menusand1200recip.txt
On diet and regimen in sickness and health,1882,,1882_Ondietandregimeninsi.txt
Cookery and housekeeping,1882,,1882_Cookeryandhousekeepi.txt
"Mrs. Owen's cook book, and useful hints for the household",1882,"Chicago, Ill., Household publishing society",1882_MrsOwenscookbookandu.txt
The cosmopolitan cook and recipe book,1882,"[Buffalo, N. Y.] Printing house of E. H. Hutchinson",1882_Thecosmopolitancooka.txt
"The Pentucket housewife : a manual for housekeepers, and collection of recipes",1882,"Haverhill, Mass. : Steam press of Chase Brothers",1882_ThePentuckethousewif.txt
The California practical cook book,1882,"Oakland, Cal., Pacific Press Pub. Co.",1882_TheCaliforniapractic.txt
"The successful housekeeper. A manual of universal application, especially adapted to the every day wants of American housewives ..",1882,"Detroit, Mich., M. W. Ellsworth & company",1882_Thesuccessfulhouseke.txt
The practical home cook-book. With useful instructions on marketing and the choice of articles of food ..,1882,"New York, New York popular publishing co",1882_Thepracticalhomecook.txt
The people's cook book. Being a collection of nearly one thousand valuable cooking recipes ..,1882,"New York, J.S. Ogilvie & Company",1882_ThepeoplescookbookBe.txt
The chemistry of cooking and cleaning; a manual for housekeepers,1882,Boston : Estes & Lauriat,1882_Thechemistryofcookin.txt
The book of husbandry,1882,London : Pub. for the English Dialect Society by Trübner & Co.,1882_Thebookofhusbandry.txt
"Hints and remedies for the treatment of common accidents and diseases and rules of simple hygiene, the two parts complete;",1882,"New York, MacMillan",1882_Hintsandremediesfort.txt
"""Our home favorite.""",1882,"Saratoga, Springs, The Daily Saratogian steam job print",1882_Ourhomefavorite.txt
"What to get for breakfast : with more than one hundred different breakfasts, and full directions for each",1882,Boston : J.H. Earle,1882_Whattogetforbreakfas.txt
The Wine Question in the Light of the New Dispensation,1882,The author,1882_TheWineQuestioninthe.txt
The Home cook book : compiled from recipes contributed by ladies of Chicago and other cities and towns,1882,Chicago : J. Fred Waggoner,1882_TheHomecookbookcompi.txt
Wholesome cookery,1882,,1882_Wholesomecookery.txt
"The successful housekeeper. A manual of universal application, especially adapted to the every day wants of American housewives ..",1882,"Detroit, Mich., M. W. Ellsworth & company",1882_Thesuccessfulhouseke.txt
"Cookery for invalids : persons of delicate digestion, and for children",1883,"London : K. Paul, Trench & Co.",1883_Cookeryforinvalidspe.txt
Our daily bread;,1883,"Chicago, Jameson & Morse, printers",1883_Ourdailybread.txt
Our new cook book and household receipts : carefully selected and indexed,1883,Boston : People's Pub. Co.,1883_Ournewcookbookandhou.txt
Motherly talks. The home; how to make and keep it,1883,"Minneapolis, Minn., Buckeye publishing co.",1883_MotherlytalksThehome.txt
Colorado cook book,1883,"Denver, Col. [Collier & Cleveland, printers",1883_Coloradocookbook.txt
Mrs. Gilpin's frugalities. Remnants and 200 ways of using them,1883,"New York, C. Scribner's sons",1883_MrsGilpinsfrugalitie.txt
"Mrs. Clarke's cookery book [microform] : comprising a collection of about fourteen hundred practical, useful and unique receipts : including "" sick room cookery"" and a number of excellent receipts entitled ""The Doctor"" : also what to name the baby, a complete dictionary of Christian names, their origin and signification",1883,Toronto : Grip,1883_MrsClarkescookeryboo.txt
Indianapolis cook book,1883,"Indianapolis, Hasselman-Journal co., prit.",1883_Indianapoliscookbook.txt
Mrs. Lincoln's Boston cook book : what to do and what not to do in cooking,"1897, c1883",Boston : Roberts,1897c1883_MrsLincolnsBostoncoo.txt
"The American pictorial home book; or, Housekeeper's encyclopedia ... For the special use of families and nurses, in city and country; restaurants, boarding houses and hotels",1883,San Francisco : A.L. Bancroft,1883_TheAmericanpictorial.txt
Our new cook book and household receipts,1883,"Philadelphia, The Presbyterian journal co.",1883_Ournewcookbookandhou.txt
Truck-farming at the South : a guide to the raising of vegetables for northern markets,1883,New York : Orange Judd,1883_TruckfarmingattheSou.txt
A few choice recipes,1883,,1883_Afewchoicerecipes.txt
The hotel book of soups and entrees,1883,Chicago,1883_Thehotelbookofsoupsa.txt
Essays on Diet,1883,Paul,1883_EssaysonDiet.txt
The Dixie cook-book,1883,"Atlanta, Ga., L. A. Clarkson & company",1883_TheDixiecookbook.txt
"Food and home cookery, a course of instruction, as followed in the schools of the Leeds school ...",1883,,1883_Foodandhomecookeryac.txt
The cottage kitchen. A collection of practical and inexpensive receipts,1883,"New York, C. Scribner's Sons",1883_ThecottagekitchenAco.txt
"The hearthstone : or, Life at home, a household manual, containing hints and helps for home making; home furnishing; decorations ... etc. together with a complete cookery book",1883,Philadelphia : Bradley,1883_ThehearthstoneorLife.txt
Margery Daw in the kitchen and what she learned there,1883,"Auburn, N. Y.",1883_MargeryDawinthekitch.txt
How to use olive butter : a collection of valuable cooking recipes,1883,Philadelphia : Washington Butcher's Sons,1883_Howtouseolivebuttera.txt
Mrs. Lincoln's Boston cook book. What to do and what not to do in cooking,"1891,c1883","Boston, Roberts Brothers",1891c1883_MrsLincolnsBostoncoo.txt
A Few Choice Recipes,1883,R. Bentley,1883_AFewChoiceRecipes.txt
Housekeeper's guide,1883,"New York, Phillips & Hunt; Cincinnati, Walden & Stowe",1883_Housekeepersguide.txt
The Chicago herald cooking school,1883,Chicago [The authors],1883_TheChicagoheraldcook.txt
Clayton's Quaker cook-book : being a practical treatise on the culinary art ...,1883,San Francisco : Women's co-operative Printing Office,1883_ClaytonsQuakercookbo.txt
"The hearthstone; or, Life at home. A household manual. Containing hints and helps for home making; home furnishing; decorations; amusements ... together with a complete cookery book",1883,Beloit : Inter-State Publishing House,1883_ThehearthstoneorLife.txt
First Dutch (Reformed) cook book,1883,"[New York, Polhemus, printer]",1883_FirstDutchReformedco.txt
The Oyster epicure : a collation of authorities on the gastronomy and dietetics of the oyster ..,1883,"New York : White, Stokes, & Allen",1883_TheOysterepicureacol.txt
The housewife's library,1883,Philadelphia : Hubbard,1883_Thehousewifeslibrary.txt
Margaret Sim's Cookery,1883,W. Blackwood,1883_MargaretSimsCookery.txt
"""Still another,"" a book of choice recipes",1883,"Oakland, Calif., Tribune Pub. Co.",1883_Stillanotherabookofc.txt
Rabbits as a food supply & how to fold them on our poor pastures,1883,,1883_Rabbitsasafoodsupply.txt
The housewife's library:,1883,"Philadelphia, New York, Hubbard bros.; [etc., etc.]",1883_Thehousewifeslibrary.txt
"Practical cookery, with demonstrations",1884,"New York, The Tribune",1884_Practicalcookerywith.txt
"Breakfast, luncheon and tea",1884,"New York, Charles Scribner's sons",1884_Breakfastluncheonand.txt
A Practical Guide for the Cake and Bread Baker,1884,Best & Co. Printers,1884_APracticalGuideforth.txt
"The housekeeper's guide, <a vade mecum,> containing a very choice collection of recipes and practical information for every home, with blank pages for new recipes",1884,"Harrisburg, Pa., Publishing department M. E. book rooms, T. S. Wilcox",1884_Thehousekeepersguide.txt
Handbook on the principles of cooking,1884,"[London] : Printed and published for the Executive Council of the International Health Exhibition, and for the Council of the Society of Arts, by William Clowes",1884_Handbookontheprincip.txt
"The viniculture of claret : a treatise on the making, maturing, and keeping of claret wines",1884,"San Francisco, Cal. : Payot, Upham & Co.",1884_Thevinicultureofclar.txt
Vegetables and vegetable cooking,1884,"Chicago, Fairbanks, Palmer & co.",1884_Vegetablesandvegetab.txt
The edible Mollusca of Great Britain and Ireland. With recipes for cooking them,1884,"London, L. Reeve & Co",1884_TheedibleMolluscaofG.txt
How to make home happy. A housekeeper's hand book ..,1884,"Philadelphia, New York [etc.] The Cottage library publication house",1884_HowtomakehomehappyAh.txt
Common sense in the household : a manual of practical housewifery,1884,New York : C. Scribner's sons,1884_Commonsenseinthehous.txt
Hotel meat cooking,1884,Chicago,1884_Hotelmeatcooking.txt
"The land and the labourers, a record of facts and experiments in cottage farming and co-operative agriculture",1884,"London, Swan",1884_Thelandandthelaboure.txt
Culinary Gems: A Collection of Recipes Gathered with Care from the Treasures ...,1884,J.D. Cadle & Co.,1884_CulinaryGemsACollect.txt
The universal household assistant;,1884,"New York, S. H. Moore & co.",1884_Theuniversalhousehol.txt
Maigre cookery,1884,,1884_Maigrecookery.txt
The model cook book,1884,"Troy, N.Y., E. H. Lisk",1884_Themodelcookbook.txt
The golden mean in cookery,1884,"Minneapolis, Minn., W. L. Klein & co.",1884_Thegoldenmeanincooke.txt
"Hood's cook book number three : respectfully dedicated to the ladies of the United States, published in response to the desires of thousands who have used, with pre-eminent success and entire satisfaction, the receipts published in Hood's cook book number one, and Hood's cook book number two, and presented free of charge to every housekeeper",1884,"[Lowell, Mass : C.I. Hood & Co.",1884_Hoodscookbooknumbert.txt
The edible Mollusca of Great Britain and Ireland. With recipes for cooking them,[1884],"London, L. Reeve & co",1884_TheedibleMolluscaofG.txt
Mrs. Owens' cook book and useful household hints. To which has been added a farmers' department ..,1884,"Chicago, J.B. Smiley; Owens Pub. Co.",1884_MrsOwenscookbookandu.txt
A Handbook of Gastronomy,1884,Nimms and Bain,1884_AHandbookofGastronom.txt
Le raffinage du sucre en fabrique et ses nouveaux procédés,1884,Paris : Librairie agricole de la maison rustique,1884_Leraffinagedusucreen.txt
Mrs. Lincoln's Boston cook book : what to do and what not to do in cooking,1884,Boston : Roberts Brothers,1884_MrsLincolnsBostoncoo.txt
"The Canadian home, farm and business cyclopaedia : a treasury of useful and entertaining knowledge ... the science and practice of farming ... also, Goodwin's practical book-keeping complete ... the Farm department",1884,Toronto : Robertson,1884_TheCanadianhomefarma.txt
Cookery for Beginners: A Series of Familiar Lessons for Young Housekeepers,1884,D. Lothrop and Co.,1884_CookeryforBeginnersA.txt
Mrs. Owens' cook book and useful household hints ..,1884,"Chicago, Owens publishing company [etc.]; Louisville, Ky., A. E. Owens; [etc.,etc.]",1884_MrsOwenscookbookandu.txt
The skilful cook: a practical manual of modern experience,1884,London : S. Low,1884_Theskilfulcookapract.txt
Chop-sticks,1884,"Troy, N.Y., C. L. Martin, book and job printer",1884_Chopsticks.txt
Hand-book of Practical Cookery: For Ladies and Professional Cooks ...,1884,D. Appleton,1884_HandbookofPracticalC.txt
Mrs. Welch's cook book ..,1884,"Des Moines, Mills & co.",1884_MrsWelchscookbook.txt
The elements of physiology and hygiene; a text-book for educational institutions,1884,"New York, Appleton",1884_Theelementsofphysiol.txt
Food and cookery for infants and invalids,1884,William Clawes and Sons,1884_Foodandcookeryforinf.txt
The menu cookery book,1885,,1885_Themenucookerybook.txt
"Home dissertations : an offering to the household for economical and practical skill in cookery, orderly domestic management, and nicety in the appointments of home : excerpts from favorite authors",1891 [c1885],"San Francisco : Goldberg, Bowen & Lebenbaum",1891c1885_Homedissertationsano.txt
In Bridget's vacation,1885,"Boston, J. R. Osgood & co.",1885_InBridgetsvacation.txt
"The cooking garden. A systematized course of cooking for pupils of all ages, including plan of work, bills of fare, songs, and letters of information",1885,"[New York, Press of J.J. Little & Co.]",1885_ThecookinggardenAsys.txt
The homemade cook book,1885,"New York, M. J. Ivers & co",1885_Thehomemadecookbook.txt
"The cooking garden. A systematized course of cooking for pupils of all ages, including plan of work, bills of fare, songs, and letters of information",1885,"[New York, Trow's Printing and Bookbinding Company",1885_ThecookinggardenAsys.txt
Dining room notes:,1885,"Brattleboro, Vt. [F. E. Housh, printer]",1885_Diningroomnotes.txt
"The kitchen; or, Every-day cookery, containing many useful, practical directions, recipes, etc. ... A companion volume to Rand, McNally & Co.'s Pocket cyclopedia",1885,Chicago : Rand,1885_ThekitchenorEveryday.txt
High-Street cook book,1885,"Lowell, Mass. : C.I. Hood & Co.",1885_HighStreetcookbook.txt
The chemistry of cookery,1885,,1885_Thechemistryofcooker.txt
The chemistry of cookery [electronic resource],1885,London : Chatto & Windus,1885_Thechemistryofcooker.txt
The physiology of taste; Harder's book of practical American cookery,1885,San Francisco,1885_Thephysiologyoftaste.txt
Bakers' secrets,1885,"Troy, Pa., A. S. Hooker, printer",1885_Bakerssecrets.txt
Catherine Owen's new cook book,[c1885],"New York, Cassell & Company, ltd",c1885_CatherineOwensnewcoo.txt
"Diet for the sick; a treatise on the values of foods, their application to special conditions of health and disease, and on the best methods of their preparation",1885,"New York, Harper",1885_Dietforthesickatreat.txt
"Food and feeding, with an appendix",1885,"London, New York, F. Warne",1885_Foodandfeedingwithan.txt
"Canoe and Camp Cookery: A Practical Cook Book for Canoeists, Corinthian ...",1885,Forest and stream publishing co.,1885_CanoeandCampCookeryA.txt
Catherine Owen's new cook book ...,1885,"New York : Cassell & Company, ltd",1885_CatherineOwensnewcoo.txt
The Kingswood cookery book,1885,Whitcombe & Tombs,1885_TheKingswoodcookeryb.txt
"Mushrooms of America, edible and poisonous",1885,"Boston, L. Prang & Co",1885_MushroomsofAmericaed.txt
"Mushrooms of America, edible and poisonous",[1885],"Boston, L. Prang & Co",1885_MushroomsofAmericaed.txt
"A new daily food. A collection of tried and reliable recipes, brought forth from the store house of things new and old",1885,New York Press of Bedell & Brother,1885_AnewdailyfoodAcollec.txt
High-class Cookery Recipes: As Taught in the School,1885,W.H. Allen,1885_HighclassCookeryReci.txt
The creole cookery book,1885,"New Orleans, T.H. Thomason",1885_Thecreolecookerybook.txt
The physiology of taste; Harder's book of practical American cookery,1885,San Francisco,1885_Thephysiologyoftaste.txt
"A new daily food. A collection of tried and reliable recipes, brought forth from the store house of things new and old",1885,New York Press of Bedell & Brother,1885_AnewdailyfoodAcollec.txt
Pittsburgh tested recipes,1885,"Pittsburgh, Pa., Press of Stevenson & Foster",1885_Pittsburghtestedreci.txt
Culinary jottings : a treatise in thirty chapters on reformed cookery for Anglo-Indian rites ...,1885,Madras : Higginbotham and Co.,1885_Culinaryjottingsatre.txt
"The hunter's handbook, containing a description of all articles required in camp, with hints on provisions and stores and receipts for camp cooking",1885,"Boston, Lee and Shepard; New York, C. T. Dillingham",1885_Thehuntershandbookco.txt
The web-foot cook book ..,1885,"Portland, Or., W. B. Ayer & co.",1885_Thewebfootcookbook.txt
The physiology of taste; Harder's book of practical American cookery,1885,San Francisco,1885_Thephysiologyoftaste.txt
"La cuisine creole : a collection of culinary recipes from leading chefs and noted Creole housewives, who have made New Orleans famous for its cuisine",c1885,"New Orleans : F.F. Hansell & Bro., Ltd.",c1885_Lacuisinecreoleacoll.txt
"Miss Corson's practical American cookery and household management : an every-day book for American housekeepers, giving the most acceptable etiquette of American hospitality, and comprehensive and minute directions for marketing, carving, and general table-service, together with suggestions for the diet of children and the sick",1885,"New York : Dodd, Mead and Co.",1885_MissCorsonspractical.txt
"The ladies' handbook and household assistant. A manual of religious and table etiquette; a selection of choice recipes for plain and fancy cooking; and a compend of rules, tables, and suggestions of infinite value in every household. Published in behalf of the Covenant band of the First Baptist church, Hoosick Falls, N.Y",1886,"[Claremont, N.H., Co-operative publishing co.",1886_Theladieshandbookand.txt
Mrs. Rorer's Philadelphia cook book : a manual of home economics,c1886,Philadelphia : Arnold and Company,c1886_MrsRorersPhiladelphi.txt
Miss Corson's practical American cookery and household management,1886,"New York, Dodd, Mead & Co.",1886_MissCorsonspractical.txt
My favorite receipt,1886,"New York, Royal baking powder co.",1886_Myfavoritereceipt.txt
Second Parish Cookbook,1886,"Owen, Stout",1886_SecondParishCookbook.txt
How to cook well,[1886],"Boston, D. Lothrop & Co",1886_Howtocookwell.txt
Gems for the kitchen,1886,"Towanda, Pa., Reporter-Journal printing company",1886_Gemsforthekitchen.txt
First lessons in the principles of cooking ..,1886,"London, Macmillan",1886_Firstlessonsinthepri.txt
Braxton's practical cook book,1886,"Boston, Walker, Young & co.",1886_Braxtonspracticalcoo.txt
"Cocoa and chocolate; a short history of their production and use, with a full and particular account of their properties, and of the various methods of preparing them for food",1886,"Dorchester, Mass. W. Baker",1886_Cocoaandchocolateash.txt
Home messenger book of tested receipts. Respectfully dedicated to the patrons and friends of the Detroit Home of the friendless,1886,[Detroit] The Post and tribune printing co.,1886_Homemessengerbookoft.txt
French dishes for American tables,1886,"New York, D. Appleton",1886_FrenchdishesforAmeri.txt
A key to cooking : that will unlock many kitchen mysteries : wrought out and made ready for public use,1886,"Springfield, Mass. : Good Housekeeping Press. Clark W. Bryan & Co. ; New York : Trade supplied by C.A. Montgomery & Co.",1886_Akeytocookingthatwil.txt
"Economical housekeeping [microform] : complete system of household management for those who wish to live well at a moderate cost : all branches of cookery are carefully treated, and information given on canning fruits, curing meats, making butter, washing, ironing, dyeing, renovating, the toilet, care of the sick, rearing of children, cultivating flowers, bee culture, silk culture, the poultry yard, and much else that is valuable to every housekeeper",1886,Toronto : J.S. Robertson,1886_Economicalhousekeepi.txt
"Cocoa and chocolate : a short history of their production and use, with full and particular account of their properties, and of the various methods of preparing them for food",c1886,"Dorchester, Mass. : Walter Baker & Co.",c1886_Cocoaandchocolateash.txt
The household (of the Detroit free press). A cyclopaedia of practical hints for modern homes ..,1886,"Detroit, Mich., The Detroit free press publishing company",1886_ThehouseholdoftheDet.txt
How to cook fish. Recipes for preparing sea and fresh water fish for the table,1886,"Cincinnati, Ohio",1886_HowtocookfishRecipes.txt
The unrivalled cook-book and housekeeper's guide,1886,"New York, Harper & brothers",1886_Theunrivalledcookboo.txt
Food materials and their adulterations,1886,"Boston, Estes and Lauriat",1886_Foodmaterialsandthei.txt
Margaret Brown's French cookery book ..,1886,"Washington, D.C., R. H. Darby",1886_MargaretBrownsFrench.txt
Temperance cook book,1887,"San Jose, Calif. : Mercury Book and Job Printing House",1887_Temperancecookbook.txt
The Home cook book,1887,Toronto : Rose Pub. Co.,1887_TheHomecookbook.txt
The Missouri cook book. Proved recipes,1887,"St. Louis, Farris, Smith & co",1887_TheMissouricookbookP.txt
A practical cook book compiled from the choicest recipes of many good housewives ..,1887,Washington [D.C.] R. H. Darby,1887_Apracticalcookbookco.txt
Centennial cookery book,1887,"Marietta, O., Times Print.",1887_Centennialcookeryboo.txt
A course of lectures on the principles of domestic economy and cookery,[1887],"[St. Paul, Pioneer Press]",1887_Acourseoflecturesont.txt
Centennial cookery book,1887,"Marietta, O., Times Print.",1887_Centennialcookeryboo.txt
A Book of Cooking and Pastry: A Collection of Original Receipts Gathered ...,1887,Cadogan & Hatcher,1887_ABookofCookingandPas.txt
Cookery for Invalids,1887,"White, Stokes & Allen",1887_CookeryforInvalids.txt
Three meals a day : a collection of valuable and reliable recipes in all classes of cookery,1887,Chicago : Acme Publishing House,1887_Threemealsadayacolle.txt
The Kirmess Cook-book,1887,Women's Educational and Industrial Union,1887_TheKirmessCookbook.txt
Practical housekeeping. A careful compilation of tried and approved recipes ..,1887,"Dayton, Oh., Buckeye Pub. Co.",1887_Practicalhousekeepin.txt
Practical dinners : with plain directions for their preparation,1887,London : H. Cox,1887_Practicaldinnerswith.txt
175 choice recipes mainly furnished by members of the Chicago women's club,1887,"Chicago, C. H. Kerr & co.",1887_175choicerecipesmain.txt
"Practical cooking and dinner giving : a treatise containing practical instructions in cooking; in the combination and serving of dishes; and in the fashionable modes of entertaining at breakfast, lunch, and dinner",1887,New York : Harper & brothers,1887_Practicalcookingandd.txt
The Buckeye cook book,1887,"Minneapolis, Minn., Dayton, Ohio, Buckeye publishing co.;",1887_TheBuckeyecookbook.txt
"The hearthstone, or, Life at home : A household manual containing hints and helps forhome making : home furnishing; decoration; amusements ... together with a complete cookery book",1887,Chicago : L. P. Miller,1887_ThehearthstoneorLife.txt
Quick Cooking: A Book of Culinary Heresies for the Busy Wives and Mothers of ...,1887,G.P. Putnam,1887_QuickCookingABookofC.txt
The White House cook book; a comprehensive cyclopedia of information for the home ..,1913 [c1887],"New York, Akron, O. [etc.] The Saalfield Pub. co.",1913c1887_TheWhiteHousecookboo.txt
"Breakfasts, luncheons, and ball suppers [electronic resource]",1887,"London : Chapman and Hall, limited",1887_Breakfastsluncheonsa.txt
Handy household hints.,1887,"Lowell, Mass., H. V. Huse",1887_Handyhouseholdhints.txt
Questions and class book of the Philadelphia cooking school ..,1887,"Philadelphia, Press of G. H. Buchanan and company",1887_Questionsandclassboo.txt
Miss Parloa's kitchen companion : a guide for all who would be good housekeepers,1887,Boston : Estes and Lauriat,1887_MissParloaskitchenco.txt
Mrs. Shillaber's cook-book : a practical guide for housekeepers,1887,New York : Crowell,1887_MrsShillaberscookboo.txt
The physiology and hygiene of the house in which we live,1887,"New York, Chautauqua Press",1887_Thephysiologyandhygi.txt
Entrées à la mode,1887,"London : Longmans, Green",1887_Entreslamode.txt
Cookery for invalids,1887,"New York : White, Stokes & Allen",1887_Cookeryforinvalids.txt
Miss Parloa's kitchen companion : a guide for all who would be good housekeepers,c1887,Boston : Estes and Lauriat,c1887_MissParloaskitchenco.txt
Modern cookery for private families,1887,"London, Longmans, Green & Co.",1887_Moderncookeryforpriv.txt
"5,000 gems for the household. A book that teaches everything a lady would like to know",1887,"[Albany, Or., C. W. Watts, printer]",1887_5000gemsforthehouseh.txt
Mother Hubbard's cupboard : recipes,1887,"Rochester, N.Y. : Scrantom, Wetmore",1887_MotherHubbardscupboa.txt
On habits and manners,1888,"Hampton, Va. : Normal School Press",1888_Onhabitsandmanners.txt
Royal baker pastry cook,1888,"New York, Royal baking powder company",1888_Royalbakerpastrycook.txt
